PAM,VFSC
84.14,67.11
84.18,66.75
84.17,66.50
84.13,66.32
84.07,66.22
83.99,66.19
83.92,66.22
83.84,66.31
83.79,66.44
83.76,66.60
83.76,66.80
83.86,67.02
84.06,67.25
84.28,67.49
84.51,67.73
84.73,67.96
84.91,68.18
85.02,68.40
85.08,68.58
85.10,68.71
85.09,68.79
85.01,68.78
84.83,68.55
84.62,68.27
84.39,67.97
84.15,67.68
83.92,67.43
83.81,67.41
83.74,67.49
83.67,67.59
83.59,67.71
83.50,67.81
83.33,67.81
83.08,67.70
82.81,67.56
82.54,67.41
82.26,67.24
82.00,67.10
81.80,67.01
81.62,66.94
81.45,66.86
81.29,66.79
81.14,66.71
80.94,66.49
80.76,66.30
80.62,66.15
80.53,66.08
80.51,66.10
80.67,66.46
80.89,66.91
81.16,67.43
81.48,68.00
81.82,68.59
82.12,69.15
82.44,69.69
82.78,70.18
83.14,70.60
83.52,70.93
83.96,71.01
84.42,70.99
84.89,70.90
85.36,70.75
85.83,70.55
86.29,70.32
86.72,70.08
87.13,69.83
87.50,69.58
87.83,69.34
88.10,69.22
88.29,69.17
88.44,69.13
88.53,69.06
88.56,68.95
88.55,68.74
88.48,68.35
88.36,67.92
88.19,67.44
87.96,66.94
87.67,66.43
87.24,65.91
86.77,65.42
86.29,64.96
85.81,64.56
85.36,64.22
85.03,64.08
84.74,64.03
84.49,64.03
84.28,64.10
84.09,64.22
83.93,64.39
83.80,64.60
83.68,64.80
83.57,65.00
83.47,65.16
83.34,65.19
83.20,65.15
83.05,65.06
82.91,64.94
82.78,64.78
82.66,64.56
82.56,64.31
82.47,64.05
82.37,63.80
82.26,63.59
82.13,63.46
81.98,63.47
81.81,63.53
81.62,63.61
81.42,63.70
81.19,63.78
80.91,63.78
80.62,63.77
80.32,63.75
80.02,63.73
79.72,63.71
79.42,63.64
79.15,63.58
78.89,63.56
78.66,63.60
78.46,63.71
78.31,64.04
78.20,64.49
78.13,64.99
78.11,65.53
78.15,66.07
78.31,66.55
78.53,66.99
78.77,67.39
79.00,67.75
79.22,68.04
79.31,68.21
79.30,68.27
79.27,68.29
79.21,68.28
79.13,68.24
79.05,68.22
78.97,68.22
78.91,68.22
78.87,68.24
78.86,68.28
78.93,68.34
79.09,68.44
79.28,68.56
79.50,68.72
79.73,68.92
79.95,69.18
80.14,69.53
80.32,69.91
80.49,70.28
80.64,70.64
80.76,70.96
80.86,71.18
80.93,71.35
80.98,71.48
81.00,71.55
80.99,71.56
80.92,71.46
80.83,71.31
80.72,71.12
80.60,70.91
80.46,70.68
80.35,70.49
80.23,70.31
80.11,70.13
79.98,69.94
79.83,69.74
79.65,69.51
79.45,69.27
79.24,69.02
79.02,68.78
78.79,68.54
78.54,68.31
78.23,68.01
77.95,67.77
77.70,67.60
77.51,67.52
77.40,67.57
77.50,68.00
77.70,68.57
77.97,69.22
78.31,69.93
78.71,70.67
79.10,71.34
79.54,71.98
80.03,72.57
80.57,73.11
81.18,73.57
81.94,73.90
82.76,74.12
83.61,74.25
84.48,74.29
85.34,74.23
86.20,73.98
87.02,73.62
87.78,73.23
88.44,72.82
89.00,72.43
89.27,72.24
89.34,72.17
89.33,72.10
89.26,72.03
89.16,71.92
89.19,71.61
89.29,71.17
89.39,70.69
89.46,70.20
89.50,69.72
89.45,69.37
89.31,69.16
89.11,68.98
88.86,68.79
88.55,68.57
88.18,68.28
87.67,67.66
87.13,67.04
86.58,66.44
86.06,65.91
85.57,65.50
85.30,65.57
85.08,65.79
84.90,66.09
84.74,66.45
84.58,66.83
84.34,67.06
84.05,67.22
83.76,67.34
83.48,67.42
83.22,67.46
83.00,67.45
82.86,67.38
82.74,67.28
82.64,67.15
82.55,67.00
82.48,66.83
82.43,66.61
82.37,66.39
82.31,66.18
82.23,65.99
82.13,65.82
81.92,65.72
81.66,65.68
81.41,65.68
81.17,65.72
80.96,65.79
80.91,65.94
80.98,66.16
81.08,66.38
81.20,66.59
81.32,66.78
81.37,66.84
81.32,66.74
81.24,66.62
81.15,66.50
81.05,66.42
80.95,66.45
80.90,66.75
80.85,67.09
80.80,67.47
80.76,67.84
80.71,68.18
80.66,68.38
80.61,68.50
80.55,68.56
80.48,68.54
80.40,68.46
80.31,68.23
80.20,67.89
80.07,67.51
79.92,67.10
79.76,66.70
79.53,66.35
79.23,66.08
78.94,65.85
78.66,65.66
78.43,65.53
78.30,65.43
78.30,65.38
78.37,65.41
78.50,65.51
78.67,65.71
78.90,66.09
79.18,66.72
79.48,67.40
79.79,68.10
80.09,68.78
80.34,69.32
80.50,69.59
80.63,69.76
80.76,69.87
80.90,69.90
81.06,69.89
81.31,69.85
81.57,69.78
81.85,69.67
82.15,69.53
82.45,69.37
82.79,69.19
83.12,69.00
83.44,68.80
83.72,68.61
83.97,68.44
84.08,68.29
84.11,68.18
84.12,68.09
84.14,68.04
84.20,68.02
84.44,68.11
84.76,68.24
85.11,68.39
85.45,68.54
85.76,68.67
85.95,68.71
86.04,68.67
86.09,68.61
86.09,68.52
86.05,68.42
85.99,68.32
85.92,68.23
85.82,68.13
85.68,68.01
85.51,67.88
85.31,67.73
85.06,67.55
84.78,67.36
84.47,67.13
84.13,66.87
83.76,66.58
83.27,66.06
82.77,65.54
82.30,65.07
81.87,64.67
81.50,64.40
81.38,64.53
81.35,64.83
81.38,65.23
81.44,65.72
81.52,66.24
81.55,66.75
81.57,67.25
81.59,67.73
81.60,68.17
81.61,68.55
81.60,68.77
81.58,68.90
81.54,68.96
81.49,68.96
81.43,68.91
81.32,68.84
81.19,68.73
81.05,68.58
80.91,68.39
80.76,68.17
80.65,67.89
80.58,67.55
80.50,67.19
80.40,66.84
80.27,66.50
80.06,66.18
79.68,65.88
79.29,65.65
78.90,65.51
78.55,65.46
78.28,65.57
78.26,66.10
78.31,66.71
78.41,67.36
78.53,68.00
78.66,68.58
78.64,68.71
78.62,68.75
78.62,68.73
78.63,68.66
78.68,68.58
78.84,68.67
79.05,68.79
79.30,68.89
79.57,68.97
79.86,69.00
80.16,68.85
80.45,68.60
80.75,68.32
81.04,68.04
81.31,67.76
81.54,67.59
81.72,67.51
81.90,67.45
82.09,67.41
82.30,67.39
82.60,67.34
82.95,67.30
83.30,67.25
83.64,67.21
83.94,67.19
84.16,67.19
84.31,67.22
84.40,67.23
84.45,67.24
84.43,67.23
84.34,67.18
84.18,67.10
83.98,66.98
83.73,66.83
83.44,66.65
83.09,66.36
82.71,66.00
82.30,65.63
81.89,65.28
81.48,64.95
81.09,64.72
80.76,64.68
80.45,64.68
80.15,64.71
79.86,64.74
79.58,64.76
79.31,64.64
79.05,64.50
78.79,64.35
78.53,64.19
78.27,64.04
77.91,63.84
77.54,63.66
77.23,63.54
76.98,63.51
76.85,63.60
77.01,64.06
77.34,64.69
77.75,65.38
78.22,66.10
78.72,66.81
79.19,67.35
79.64,67.81
80.07,68.17
80.48,68.41
80.83,68.53
81.05,68.32
81.21,67.99
81.34,67.58
81.43,67.12
81.51,66.66
81.58,66.33
81.64,66.03
81.71,65.74
81.79,65.47
81.89,65.21
82.07,65.00
82.29,64.80
82.50,64.60
82.72,64.40
82.93,64.18
83.11,63.87
83.26,63.53
83.38,63.20
83.46,62.89
83.50,62.62
83.46,62.47
83.35,62.45
83.20,62.46
83.02,62.51
82.80,62.58
82.56,62.61
82.27,62.56
81.99,62.52
81.73,62.52
81.49,62.55
81.32,62.67
81.28,62.94
81.27,63.26
81.30,63.61
81.36,63.98
81.42,64.36
81.44,64.72
81.48,65.06
81.55,65.39
81.65,65.69
81.80,65.96
82.09,66.13
82.42,66.26
82.77,66.36
83.13,66.43
83.48,66.48
83.78,66.53
84.01,66.57
84.22,66.59
84.40,66.61
84.55,66.61
84.67,66.61
84.77,66.63
84.83,66.63
84.86,66.61
84.86,66.57
84.82,66.51
84.71,66.34
84.56,66.13
84.38,65.92
84.16,65.72
83.92,65.56
83.64,65.49
83.34,65.56
83.02,65.65
82.70,65.77
82.38,65.90
82.07,66.02
81.81,66.05
81.56,66.07
81.33,66.08
81.11,66.09
80.90,66.11
80.69,66.16
80.50,66.21
80.32,66.28
80.17,66.34
80.03,66.41
79.93,66.47
79.86,66.53
79.81,66.59
79.79,66.67
79.80,66.76
79.87,66.92
79.98,67.13
80.11,67.33
80.25,67.50
80.39,67.63
80.48,67.61
80.52,67.42
80.57,67.20
80.65,66.97
80.77,66.76
80.96,66.61
81.34,66.70
81.77,66.84
82.26,67.01
82.78,67.18
83.32,67.34
83.86,67.39
84.40,67.37
84.93,67.32
85.44,67.24
85.93,67.14
86.38,67.01
86.77,66.86
87.12,66.70
87.42,66.53
87.65,66.36
87.82,66.21
87.90,66.13
87.91,66.06
87.85,65.98
87.72,65.90
87.52,65.79
87.19,65.59
86.79,65.35
86.35,65.09
85.88,64.84
85.41,64.61
84.98,64.43
84.61,64.30
84.25,64.20
83.91,64.14
83.59,64.09
83.31,64.09
83.07,64.13
82.85,64.19
82.64,64.25
82.45,64.32
82.27,64.37
82.08,64.38
81.90,64.37
81.73,64.34
81.55,64.29
81.37,64.21
81.18,64.07
80.97,63.90
80.77,63.71
80.55,63.51
80.34,63.29
80.10,63.03
79.85,62.74
79.60,62.47
79.36,62.24
79.13,62.05
78.93,61.95
78.81,62.13
78.71,62.36
78.62,62.61
78.56,62.85
78.50,63.05
78.46,62.99
78.41,62.81
78.37,62.61
78.33,62.41
78.28,62.23
78.17,62.15
78.02,62.18
77.89,62.28
77.80,62.45
77.78,62.70
77.93,63.11
78.23,63.64
78.58,64.23
78.98,64.84
79.40,65.45
79.77,66.00
80.11,66.48
