"Lags","Costos","NU","gamma","Correlaci??n"
3,64,0.1,0.00390625,0.729045806913523
3,128,0.1,0.001953125,0.727310150539235
3,32,0.1,0.0078125,0.726620152766287
3,32,0.1,0.00390625,0.725412222881759
3,128,0.1,0.00390625,0.725330504653603
3,16,0.1,0.0078125,0.725172463261475
3,256,0.1,0.001953125,0.725071846027625
3,4,0.1,0.015625,0.722890874619442
3,512,0.1,0.0009765625,0.722657611238143
3,512,0.1,0.001953125,0.722231126851288
3,1024,0.1,0.00048828125,0.721544766697166
3,256,0.1,0.0009765625,0.721320553240864
3,1024,0.1,0.0009765625,0.720874466769696
3,2048,0.1,0.00048828125,0.720668559395299
3,64,0.1,0.001953125,0.719737710003511
3,8,0.1,0.0078125,0.719353558159603
3,2,0.1,0.03125,0.718988752943262
3,4096,0.1,0.000244140625,0.718761689326442
3,1,0.1,0.03125,0.717984118859628
3,8,0.1,0.015625,0.717116766860418
3,256,0.1,0.00390625,0.717062806743604
3,512,0.1,0.00048828125,0.716974591838868
3,2048,0.1,0.000244140625,0.715949864300788
3,4096,0.1,0.0009765625,0.715877428094985
3,2048,0.1,0.0009765625,0.715487628955379
3,1024,0.1,0.001953125,0.715400051661484
3,128,0.1,0.0009765625,0.714904102003764
3,0.5,0.1,0.0625,0.714492470374788
3,8192,0.1,0.00048828125,0.714404571123199
3,16,0.1,0.00390625,0.714401539693416
3,2,0.1,0.015625,0.714172808022451
3,64,0.1,0.0078125,0.714170503754159
3,8192,0.1,0.0001220703125,0.71401914161978
3,32768,0.1,0.00048828125,0.712946869071237
3,16384,0.1,0.000244140625,0.712927658126867
3,32768,0.1,0.000244140625,0.712570510497986
3,16384,0.1,0.00048828125,0.712459237779776
3,8192,0.1,0.000244140625,0.712208138823879
3,4096,0.1,0.00048828125,0.71211772859149
3,32,0.1,0.001953125,0.71195150223275
3,32768,0.1,0.0001220703125,0.711937677406736
3,4,0.1,0.0078125,0.711880761229562
3,8192,0.1,0.0009765625,0.710679862791263
3,0.25,0.1,0.0625,0.70967664073321
3,16384,0.1,0.0001220703125,0.709571660924739
3,32768,0.1,6.103515625e-05,0.709543671752916
3,4096,0.1,0.0001220703125,0.709522146228566
3,1024,0.1,0.000244140625,0.70835963476195
3,16384,0.8,0.00048828125,0.708271741783422
3,16384,0.1,6.103515625e-05,0.708201667515268
3,0.5,0.1,0.03125,0.708005767727309
3,1,0.1,0.015625,0.70795387032254
3,32768,0.9,0.00048828125,0.707757997647245
3,32768,0.8,0.00048828125,0.707561262393618
3,32768,0.8,0.0009765625,0.707462246378612
3,32768,0.7,0.00048828125,0.707279063600436
3,4096,0.8,0.0009765625,0.707073592930287
3,32768,0.7,0.0009765625,0.706946226838185
3,32768,0.9,0.0009765625,0.706816489486707
3,32768,0.8,0.000244140625,0.706798831265995
3,32,0.9,0.001953125,0.706716312646782
3,16384,0.8,0.001953125,0.706655581878909
3,8192,0.9,0.0009765625,0.706491809428066
3,16384,0.8,0.0009765625,0.706473237156735
3,8192,0.8,0.0009765625,0.706436497526946
3,2048,0.1,0.001953125,0.706419990615337
3,16,0.9,0.00390625,0.706374301618226
3,8,0.9,0.0078125,0.706291616921506
3,16384,0.9,0.00048828125,0.706178115567485
3,16384,0.9,0.0009765625,0.706172414621438
3,4096,0.9,0.001953125,0.706028855023767
3,2,0.1,0.0078125,0.705998974123151
3,8192,0.8,0.001953125,0.705899484310789
3,8192,0.9,0.001953125,0.705855057065234
3,16384,0.7,0.0009765625,0.705756718758854
3,16384,0.7,0.00048828125,0.70550094804404
3,4096,0.8,0.001953125,0.705349960612019
3,4096,0.9,0.0009765625,0.705329665918122
3,16384,0.9,0.001953125,0.70531570540682
3,16,0.9,0.0078125,0.705100456088463
3,32768,0.7,0.000244140625,0.705079241964632
3,8192,0.7,0.0009765625,0.705042002786865
3,256,0.1,0.00048828125,0.704945829249579
3,2048,0.8,0.001953125,0.704723498327758
3,64,0.9,0.0009765625,0.704669368958098
3,32768,0.9,0.000244140625,0.704645357359199
3,32768,0.9,0.001953125,0.704624746318795
3,8,0.1,0.00390625,0.70448657742725
3,1024,0.8,0.001953125,0.70445254042097
3,8192,0.8,0.00048828125,0.704449097449988
3,8,0.9,0.00390625,0.704442013521565
3,32768,0.8,0.001953125,0.704424890700856
3,4,0.9,0.015625,0.704359023072844
3,32,0.9,0.00390625,0.704345572382169
3,8192,0.7,0.001953125,0.704159052495895
3,4096,0.7,0.001953125,0.704041022792809
3,2048,0.7,0.001953125,0.703895262319985
3,256,0.8,0.00390625,0.703811496114926
3,4096,0.7,0.0009765625,0.703810641811351
3,4,0.9,0.0078125,0.703783237423773
3,2,0.9,0.015625,0.7037674857145
3,16384,0.7,0.001953125,0.703757868688818
3,2048,0.9,0.001953125,0.703691163712061
3,8,0.8,0.0078125,0.70359835522621
3,0.5,0.1,0.015625,0.703476817620774
3,512,0.8,0.00390625,0.703474395539437
3,16384,0.1,0.0009765625,0.703441532412193
3,64,0.9,0.001953125,0.703391527265089
3,1,0.1,0.0625,0.703214057784765
3,0.25,0.1,0.125,0.702890348543225
3,1024,0.7,0.00390625,0.702872768782694
3,2048,0.9,0.00390625,0.702834565778029
3,512,0.7,0.00390625,0.702831957375134
3,512,0.1,0.00390625,0.70268911567614
3,8192,0.9,0.00048828125,0.702678783039219
3,1024,0.9,0.001953125,0.702610071746317
3,16,0.9,0.001953125,0.702567545632251
3,1024,0.7,0.001953125,0.702508686475932
3,32768,0.7,0.001953125,0.702496903739018
3,4096,0.9,0.00390625,0.702434847481761
3,8192,0.7,0.00048828125,0.702430843733448
3,1024,0.8,0.00390625,0.702349465961096
3,2048,0.8,0.00390625,0.702272841434675
3,128,0.9,0.0009765625,0.702265980261332
3,64,0.8,0.0078125,0.702227765945766
3,2,0.9,0.03125,0.702060547330158
3,16,0.8,0.00390625,0.702055538113599
3,1024,0.9,0.00390625,0.701997338330578
