"Lags","Costos","NU","gamma","Correlaci??n"
3,32768,0.2,0.0009765625,0.664130102068739
3,32768,0.2,0.001953125,0.663887949161848
3,16384,0.2,0.0009765625,0.663520183526022
3,32768,0.2,0.00390625,0.663505223601156
3,4096,0.2,0.015625,0.663487410396456
3,16384,0.2,0.00390625,0.663448192245152
3,1024,0.2,0.015625,0.663433598804927
3,8192,0.2,0.0078125,0.663302648100866
3,16384,0.2,0.001953125,0.663071331476413
3,4096,0.2,0.0078125,0.663062368996867
3,32768,0.2,0.00048828125,0.662982678968082
3,8192,0.2,0.00390625,0.662857561271914
3,4096,0.2,0.00390625,0.66282046509855
3,8192,0.2,0.001953125,0.662619268774599
3,2048,0.2,0.015625,0.662592258401438
3,2048,0.2,0.0078125,0.662504993895161
3,8192,0.2,0.0009765625,0.662136216054444
3,32768,0.3,0.00048828125,0.661875054170522
3,16384,0.2,0.00048828125,0.661853021171363
3,4096,0.2,0.001953125,0.661798211764848
3,32768,0.2,0.000244140625,0.661642953225845
3,2048,0.2,0.00390625,0.661332788817221
3,16384,0.2,0.0078125,0.661054217784434
3,512,0.2,0.015625,0.660856874330837
3,1024,0.2,0.0078125,0.660714194397422
3,32768,0.2,0.0078125,0.660664122159021
3,32768,0.3,0.000244140625,0.660650626139761
3,16384,0.3,0.00048828125,0.660576407560258
3,8192,0.2,0.015625,0.66047726669106
3,2048,0.2,0.001953125,0.660346916371953
3,4096,0.2,0.0009765625,0.660341553520497
3,256,0.2,0.03125,0.660233442691489
3,32768,0.2,0.0001220703125,0.660207986298169
3,8192,0.2,0.00048828125,0.660207985694774
3,8192,0.3,0.0009765625,0.660182861609446
3,16384,0.2,0.000244140625,0.65997761450599
3,1024,0.2,0.00390625,0.659955308264657
3,32768,0.3,0.0001220703125,0.659867832245723
3,16384,0.3,0.0009765625,0.659710723453765
3,16384,0.3,0.000244140625,0.659600059739708
3,32768,0.3,6.103515625e-05,0.659417164292175
3,512,0.2,0.0078125,0.659278251960432
3,8192,0.3,0.00048828125,0.659261594925471
3,128,0.2,0.03125,0.659250058353929
3,512,0.2,0.00390625,0.659193586856364
3,4096,0.3,0.0009765625,0.659179939827722
3,4096,0.2,0.00048828125,0.659132628712303
3,2048,0.2,0.0009765625,0.659132288025787
3,16384,0.2,0.0001220703125,0.65911493081367
3,16384,0.3,6.103515625e-05,0.659092355095178
3,8192,0.2,0.000244140625,0.659075736852453
3,1024,0.2,0.001953125,0.659022052960244
3,16384,0.3,0.0001220703125,0.658972280744833
3,32768,0.2,6.103515625e-05,0.658949916124678
3,32768,0.3,3.0517578125e-05,0.658914148345181
3,32768,0.4,3.0517578125e-05,0.658913539826089
3,8192,0.3,6.103515625e-05,0.658754744994448
3,4096,0.3,0.0001220703125,0.658693232394964
3,8192,0.3,0.0001220703125,0.658666382307124
3,256,0.2,0.001953125,0.658664722008596
3,8192,0.3,0.000244140625,0.658645893366989
3,512,0.2,0.03125,0.658643378231132
3,512,0.2,0.0009765625,0.658642199935939
3,16384,0.2,0.015625,0.658603461981142
3,128,0.2,0.00390625,0.658582098762737
3,1024,0.2,0.00048828125,0.658573144512666
3,512,0.2,0.001953125,0.658533527997207
3,1024,0.2,0.0009765625,0.658530189111185
3,256,0.2,0.015625,0.658495726784326
3,4,0.2,0.125,0.658479460981678
3,256,0.2,0.0009765625,0.658466375702388
3,16384,0.4,3.0517578125e-05,0.658450170363069
3,16384,0.3,3.0517578125e-05,0.658440274887449
3,256,0.2,0.00390625,0.658435292574691
3,2048,0.2,0.000244140625,0.658430338099306
3,2048,0.2,0.00048828125,0.658399004829196
3,128,0.2,0.001953125,0.658388670648757
3,4096,0.2,0.000244140625,0.658376048032168
3,64,0.2,0.0078125,0.658365229227743
3,8192,0.2,0.0001220703125,0.658362315438997
3,512,0.2,0.00048828125,0.65835864586621
3,4096,0.3,0.00048828125,0.658349058810001
3,2048,0.3,0.0009765625,0.65831169920638
3,16,0.2,0.0625,0.658284267723418
3,64,0.2,0.00390625,0.65828337413443
3,128,0.2,0.0078125,0.658273175579489
3,2048,0.3,0.0001220703125,0.65825641858985
3,4096,0.3,0.000244140625,0.658219909817302
3,1024,0.2,0.000244140625,0.6581890190874
3,4096,0.2,0.0001220703125,0.658146142907939
3,2048,0.3,0.000244140625,0.658134970228704
